Sender	Subject	Body	IsSpam
zoom@meeting-scam.net	Meeting Link	Join urgent meeting about your account	True
skype@account-fake.org	Account Verification	Verify your Skype account within 24 hours	True
office@company.com	Quarterly Planning	Q2 planning session scheduled for next Tuesday	False
ceo@company.com	All Hands Meeting	Quarterly all-hands meeting this Friday at 3 PM	False
board@company.com	Board Meeting	Board meeting minutes attached for review	False
investor@company.com	Investor Update	Monthly investor relations update	False
pr@company.com	Press Release	Draft press release for your approval	False
media@company.com	Interview Request	Media interview request for CEO	False
research@company.com	Market Research	Latest market research findings attached	False
strategy@company.com	Strategic Planning	Strategic planning workshop next month	False
analytics@company.com	Performance Metrics	Monthly performance analytics report	False
partnership@company.com	New Partnership	Partnership agreement ready for signature	False
vendor@company.com	Contract Renewal	Vendor contract up for renewal next month	False
consultant@company.com	Consulting Report	Quarterly consulting report delivered	False
audit@company.com	Financial Audit	Annual financial audit scheduled	False
insurance@company.com	Policy Renewal	Company insurance policy renewal notice	False
bank@company.com	Loan Approval	Business loan application approved	False
tax@company.com	Tax Filing	Corporate tax filing due next month	False
regulatory@company.com	Compliance Report	Regulatory compliance report submitted	False
ethics@company.com	Ethics Training	Annual ethics training completion required	False
patent@company.com	Patent Application	Patent application status update	False
trademark@company.com	Trademark Registration	Trademark registration successful	False
pharmacy@pills-online.scam	Prescription Drugs	Buy Viagra without prescription! 80% discount	True
casino@gambling-site.fake	Free Spins	1000 free spins at our online casino	True
binary@trading-scam.org	Binary Options	Make $5000 daily with binary options trading	True
forex@currency-scam.net	Forex Trading	Turn $500 into $50000 with forex trading	True
crypto@coin-scam.org	Cryptocurrency	New cryptocurrency will make you millionaire	True
stock@pump-dump.fake	Stock Tip	Hot stock tip! Buy now before price explodes	True
gold@precious-metals.scam	Gold Investment	Invest in gold before economic collapse	True
real-estate@property-scam.net	Real Estate	Buy foreclosed homes for pennies on dollar	True
business@mlm-scam.org	Business Opportunity	Start your own business for just $99	True
franchise@pyramid-scheme.net	Franchise Opportunity	Buy successful franchise for $5000	True
energy@oil-scam.org	Oil Investment	Invest in oil wells with guaranteed returns	True
solar@renewable-scam.net	Solar Investment	Government pays you to install solar panels	True
water@commodity-scam.org	Water Rights	Buy water rights before shortage hits	True
diamond@gem-scam.net	Diamond Investment	Invest in conflict-free diamonds now	True
art@collectible-scam.org	Art Investment	Rare art pieces tripling in value	True
wine@vintage-scam.net	Wine Investment	Vintage wines with 300% returns guaranteed	True
antique@auction-scam.org	Antique Auction	Estate auction with incredible bargains	True
collectible@coin-scam.net	Coin Collection	Rare coins increasing 500% in value	True
sports@memorabilia-scam.org	Sports Cards	Sports memorabilia investment opportunity	True
comic@collectible-fake.net	Comic Books	Rare comic books worth millions	True
accounting@company.com	Monthly Books	Monthly accounting books ready for review	False
treasury@company.com	Cash Flow	Weekly cash flow report attached	False
controller@company.com	Financial Statements	Q1 financial statements prepared	False
cfo@company.com	Budget Variance	Budget variance analysis for management	False
ar@company.com	Accounts Receivable	AR aging report shows improvement	False
ap@company.com	Accounts Payable	AP run scheduled for tomorrow	False
cost@company.com	Cost Analysis	Product cost analysis completed	False
revenue@company.com	Revenue Recognition	New revenue recognition policy update	False
tax@company.com	Tax Planning	Year-end tax planning strategies	False
asset@company.com	Asset Management	Fixed asset inventory completed	False
risk@company.com	Risk Assessment	Enterprise risk assessment findings	False
fraud@company.com	Fraud Prevention	New fraud prevention measures implemented	False
internal@company.com	Internal Controls	Internal controls testing results	False
external@company.com	External Audit	External auditors arriving next week	False
sox@company.com	SOX Compliance	Sarbanes-Oxley compliance update	False
gaap@company.com	GAAP Update	New GAAP accounting standards effective	False
ifrs@company.com	IFRS Conversion	IFRS conversion project status update	False
consolidation@company.com	Financial Consolidation	Monthly consolidation completed	False
forecasting@company.com	Financial Forecast	Updated financial forecast for board	False
modeling@company.com	Financial Model	Financial model updated with new assumptions	False
health@miracle-pills.scam	Weight Loss Pills	Lose 50 pounds in 30 days guaranteed	True
beauty@cosmetic-scam.org	Anti-Aging Cream	Look 20 years younger with our cream	True
fitness@workout-scam.net	Fitness Program	Get ripped abs in just 2 weeks	True
nutrition@supplement-scam.org	Muscle Building	Build massive muscles without exercise	True
vision@eye-scam.net	Perfect Vision	Throw away your glasses forever	True
hearing@ear-scam.org	Hearing Aid	Restore perfect hearing naturally	True
memory@brain-scam.net	Memory Enhancement	Boost your IQ by 50 points	True
energy@vitamin-scam.org	Energy Booster	Never feel tired again with our pills	True
sleep@insomnia-scam.net	Sleep Solution	Fall asleep instantly every night	True
pain@relief-scam.org	Pain Relief	Eliminate all pain without side effects	True
diabetes@cure-scam.net	Diabetes Cure	Cure diabetes in 30 days naturally	True
cancer@treatment-scam.org	Cancer Treatment	Revolutionary cancer cure doctors hate	True
heart@cardiac-scam.net	Heart Health	Prevent heart attacks with one pill	True
cholesterol@health-scam.org	Cholesterol Reducer	Lower cholesterol 200 points instantly	True
blood@pressure-scam.net	Blood Pressure	Normalize blood pressure overnight	True
arthritis@joint-scam.org	Arthritis Relief	End arthritis pain forever naturally	True
baldness@hair-scam.net	Hair Growth	Regrow full head of hair in 60 days	True
wrinkle@skin-scam.org	Wrinkle Remover	Remove all wrinkles without surgery	True
acne@clear-skin.scam	Acne Treatment	Clear skin in 7 days guaranteed	True
cellulite@body-scam.net	Cellulite Removal	Remove cellulite without exercise	True
recruiting@company.com	Job Opening	Software developer position available	False
candidates@company.com	Interview Schedule	Interview scheduled for Thursday 2 PM	False
onboarding@company.com	New Hire Paperwork	Please complete onboarding documents	False
background@company.com	Background Check	Background check results received	False
references@company.com	Reference Check	Reference check completed successfully	False
orientation@company.com	New Employee Orientation	Orientation starts Monday at 9 AM	False
policy@company.com	Employee Handbook	Updated employee handbook available	False
performance@company.com	Annual Review	Performance review scheduled next week	False
development@company.com	Career Development	Career development planning session	False
promotion@company.com	Job Promotion	Congratulations on your promotion	False
transfer@company.com	Department Transfer	Transfer request approved effective immediately	False
resignation@company.com	Exit Interview	Exit interview scheduled for Friday	False
termination@company.com	Employment Termination	Final paycheck and benefits information	False
retirement@company.com	Retirement Planning	Retirement planning workshop available	False
disability@company.com	Disability Benefits	Disability benefits claim approved	False
workers-comp@company.com	Workers Compensation	Workers comp claim status update	False
unemployment@company.com	Unemployment Benefits	Unemployment benefits information	False
cobra@company.com	COBRA Benefits	COBRA continuation coverage options	False
pension@company.com	Pension Plan	Pension plan statement attached	False
401k@company.com	401k Statement	Quarterly 401k statement available	False
jobs@fake-employment.scam	High Paying Job	Earn $15000 monthly working 2 hours daily	True
career@dream-jobs.fake	Dream Career	Land your dream job with our secret method	True
resume@job-scam.org	Resume Service	Professional resume guarantees job interviews	True
interview@employment-scam.net	Job Interview	You're pre-approved for high-paying position	True
placement@recruitment-fake.org	Job Placement	Guaranteed job placement for $500 fee	True
overseas@foreign-jobs.scam	Work Overseas	Work in Dubai earning $20000 monthly	True
government@civil-service.fake	Government Job	Get government job without taking exam	True
airline@pilot-scam.org	Airline Pilot	Become airline pilot with our training	True
oil@offshore-jobs.fake	Offshore Oil Jobs	Make $25000 monthly on oil rigs	True
cruise@ship-jobs.scam	Cruise Ship Jobs	Work on cruise ships traveling the world	True
modeling@talent-scam.org	Modeling Career	Start modeling career with our agency	True
acting@hollywood-fake.net	Acting Opportunity	Star in Hollywood movies guaranteed	True
music@record-deal.scam	Record Deal	Get recording contract with major label	True
sports@athlete-scam.org	Sports Career	Professional sports career opportunity	True
lottery@winning-fake.net	Lottery Training	Learn lottery winning secrets system	True
gambling@casino-system.scam	Casino System	Beat the casino every time guaranteed	True
horse@racing-tips.fake	Horse Racing	Inside horse racing tips 90% win rate	True
sports@betting-scam.org	Sports Betting	Sports betting system never loses	True
poker@card-counting.fake	Poker Secrets	Learn poker secrets pros don't share	True
blackjack@counting-scam.net	Blackjack System	Count cards like professional player	True
billing@company.com	Invoice Processing	Monthly invoices ready for processing	False
collections@company.com	Past Due Account	Account 30 days past due please remit	False
credit@company.com	Credit Application	Credit application approved for $50000	False
terms@company.com	Payment Terms	Updated payment terms effective immediately	False
discount@company.com	Early Payment Discount	Take 2% discount for payment within 10 days	False
statement@company.com	Account Statement	Monthly account statement attached	False
reconciliation@company.com	Account Reconciliation	Please reconcile account differences	False
dispute@company.com	Billing Dispute	Billing dispute resolved in your favor	False
refund@company.com	Refund Process	Refund of $1250 processed to your account	False
chargeback@company.com	Chargeback Notice	Chargeback received for order #78901	False
payment@company.com	Payment Method	Please update payment method on file	False
autopay@company.com	Automatic Payment	Autopay enrollment confirmation	False
finance@company.com	Financing Options	New financing options available	False
lease@company.com	Equipment Lease	Equipment lease agreement renewal	False
purchase@company.com	Purchase Order	Purchase order #PO-2023-456 approved	False
quote@company.com	Price Quote	Updated price quote for your review	False
proposal@company.com	Proposal Submitted	Proposal submitted for your consideration	False
contract@company.com	Contract Amendment	Contract amendment requires signature	False
warranty@company.com	Warranty Information	Extended warranty options available	False
maintenance@company.com	Service Contract	Annual service contract renewal	False
tech@company.com	Technical Update	System update scheduled for tonight	False
server@company.com	Server Maintenance	Database server maintenance completed	False
network@company.com	Network Upgrade	Network infrastructure upgrade complete	False
security@company.com	Security Patch	Critical security patches installed	False
backup@company.com	Backup Status	Daily backup completed successfully	False
storage@company.com	Storage Capacity	Storage capacity at 85% threshold	False
cloud@company.com	Cloud Migration	Cloud migration project on schedule	False
software@company.com	Software License	Software licenses up for renewal	False
hardware@company.com	Hardware Replacement	Hardware replacement schedule attached	False
mobile@company.com	Mobile Device	New mobile device policy effective	False
laptop@company.com	Laptop Refresh	Laptop refresh program begins next month	False
desktop@company.com	Desktop Upgrade	Desktop computers scheduled for upgrade	False
printer@company.com	Printer Maintenance	Printer maintenance completed today	False
phone@company.com	Phone System	New phone system training next week	False
email@company.com	Email Migration	Email system migration this weekend	False
website@company.com	Website Update	Company website updates published	False
database@company.com	Database Optimization	Database optimization completed	False
application@company.com	Application Deployment	New application version deployed	False
integration@company.com	System Integration	System integration testing passed	False
api@company.com	API Update	API documentation updated with new endpoints	False
virus@computer-scam.org	Computer Virus	Your computer is infected with 247 viruses	True
malware@security-fake.net	Malware Detected	Dangerous malware found on your computer	True
antivirus@fake-protection.org	Antivirus Expired	Your antivirus protection has expired	True
firewall@security-scam.net	Firewall Alert	Your firewall has been compromised	True
ransomware@crypto-lock.fake	Files Encrypted	Your files are encrypted pay ransom	True
hacker@identity-theft.scam	Identity Stolen	Your identity was stolen act immediately	True
spyware@monitoring-fake.org	Computer Monitored	Your computer is being monitored	True
trojan@backdoor-scam.net	Trojan Detected	Trojan horse detected on your system	True
worm@network-fake.org	Network Worm	Network worm spreading through your network	True
botnet@zombie-scam.net	Botnet Infection	Your computer joined criminal botnet	True
keylogger@password-fake.org	Passwords Stolen	Keylogger captured all your passwords	True
rootkit@system-scam.net	System Compromised	Rootkit has taken control of system	True
adware@popup-fake.org	Popup Virus	Popup virus installed remove immediately	True
browser@hijack-scam.net	Browser Hijacked	Your browser has been hijacked	True
homepage@redirect-fake.org	Homepage Changed	Malware changed your homepage settings	True
search@engine-scam.net	Search Redirect	Search engine redirecting to malicious sites	True
download@fake-software.org	Infected Download	Downloaded file contains 50 viruses	True
attachment@email-scam.net	Email Virus	Email attachment contains dangerous virus	True
link@phishing-fake.org	Malicious Link	Clicked link downloaded malware	True
update@fake-flash.net	Flash Update	Adobe Flash needs urgent security update	True
marketing@company.com	Campaign Launch	New marketing campaign launches Monday	False
creative@company.com	Design Review	Creative designs ready for your review	False
content@company.com	Content Calendar	Monthly content calendar approved	False
social@company.com	Social Media	Social media engagement up 25% this month	False
email@company.com	Email Campaign	Email campaign achieved 15% open rate	False
advertising@company.com	Ad Performance	Digital advertising ROI exceeded targets	False
brand@company.com	Brand Guidelines	Updated brand guidelines distributed	False
pr@company.com	Press Coverage	Positive press coverage in industry publication	False
events@company.com	Trade Show	Trade show booth setup completed	False
webinar@company.com	Webinar Registration	Webinar registration exceeds expectations	False
seo@company.com	SEO Report	Website ranking improved for key terms	False
analytics@company.com	Web Analytics	Website traffic increased 30% last month	False
conversion@company.com	Conversion Rate	Landing page conversion rate improved	False
leads@company.com	Lead Generation	Lead generation campaign generated 500 leads	False
nurturing@company.com	Lead Nurturing	Lead nurturing workflow optimization complete	False
segmentation@company.com	Customer Segmentation	Customer segments analyzed and updated	False
personalization@company.com	Personalization	Email personalization increased engagement	False
automation@company.com	Marketing Automation	Marketing automation workflows deployed	False
attribution@company.com	Attribution Model	Marketing attribution model updated	False
budget@company.com	Marketing Budget	Q2 marketing budget approved by finance	False
roi@company.com	Marketing ROI	Marketing ROI dashboard updated weekly	False
dating@find-match.scam	Find True Love	Meet your soulmate tonight guaranteed	True
singles@local-area.fake	Local Singles	Hot singles in your area want to chat	True
romance@perfect-match.org	Perfect Match	Algorithm finds your perfect romantic match	True
marriage@bride-scam.net	Foreign Bride	Beautiful foreign brides seeking marriage	True
hookup@casual-fake.org	Casual Dating	No strings attached dating tonight	True
adult@mature-scam.net	Adult Dating	Mature singles looking for companionship	True
webcam@chat-fake.org	Webcam Chat	Private webcam chat with beautiful women	True
escort@companion-scam.net	Escort Service	High-class escort service in your city	True
massage@spa-fake.org	Massage Therapy	Relaxing massage therapy available now	True
personal@trainer-scam.net	Personal Trainer	Get in shape with personal trainer	True
coach@life-fake.org	Life Coach	Transform your life with our coaching	True
therapy@counseling-scam.net	Relationship Therapy	Fix your relationship problems today	True
psychic@fortune-fake.org	Psychic Reading	Psychic reveals your future for free	True
astrology@horoscope-scam.net	Astrology Reading	Detailed astrology reading reveals all	True
tarot@card-fake.org	Tarot Cards	Tarot card reading predicts your destiny	True
numerology@number-scam.net	Numerology Report	Your lucky numbers revealed today	True
palm@reading-fake.org	Palm Reading	Palm reading reveals your life path	True
crystal@healing-scam.net	Crystal Healing	Healing crystals change your energy	True
meditation@spiritual-fake.org	Meditation Guide	Ancient meditation secrets revealed	True
chakra@alignment-scam.net	Chakra Alignment	Align your chakras for perfect health	True
customer@company.com	Customer Complaint	Customer complaint about delayed shipment	False
service@company.com	Service Request	Service request #SR-789012 completed	False
satisfaction@company.com	Customer Survey	Customer satisfaction survey results	False
feedback@company.com	Product Feedback	Valuable product feedback from customers	False
testimonial@company.com	Customer Testimonial	Great customer testimonial for website	False
reference@company.com	Customer Reference	Customer agreed to serve as reference	False
loyalty@company.com	Loyalty Program	Customer loyalty program enrollment	False
retention@company.com	Customer Retention	Customer retention rates improved	False
churn@company.com	Customer Churn	Customer churn analysis completed	False
acquisition@company.com	Customer Acquisition	New customer acquisition costs down	False
lifetime@company.com	Customer Value	Customer lifetime value analysis ready	False
segmentation@company.com	Customer Segments	Customer segmentation study complete	False
journey@company.com	Customer Journey	Customer journey mapping workshop	False
experience@company.com	Customer Experience	Customer experience improvement plan	False
touchpoint@company.com	Customer Touchpoints	Customer touchpoint optimization	False
persona@company.com	Customer Personas	Updated customer personas available	False
voice@company.com	Voice of Customer	Voice of customer research findings	False
nps@company.com	Net Promoter Score	NPS scores increased to industry average	False
csat@company.com	Customer Satisfaction	CSAT scores show marked improvement	False
ces@company.com	Customer Effort Score	Customer effort scores trending positive	False
call@company.com	Call Center	Call center performance metrics improved	False
chat@company.com	Live Chat	Live chat response times decreased	False
email@company.com	Email Support	Email support ticket resolution improved	False
social@company.com	Social Support	Social media support response optimized	False
reports@company.com	Monthly Report	Attached is the report for the current month	False
meetings@calendar.com	Meeting Tomorrow	Don't forget about the meeting tomorrow at 10:00	False
hr@company.com	Documents	Sending the necessary documents	False
pm@projecthub.com	Project Ready	The project is completed and ready for review	False
vacations@company.com	Vacation	Submitting a vacation request	False
win@lottery-prize.com	Win a Million!	You won a million dollars! Click here!	True
loans@fastcash-now.com	Online Loan	Get a loan without documents in 5 minutes	True
deals@superdiscounts.com	90% Discount	Incredible 90% discount on all products! Hurry!	True
help@urgent-finance.org	Urgent Help	Urgent financial help without refusals	True
homejobs@easyprofit.net	Earn at Home	Make $5000 at home without leaving the house	True
promo@freeiphones.com	Free iPhone	Get a free iPhone right now	True
info@national-lottery.ua	Lottery	Congratulations! You won $1,000,000 in the lottery	True
cash@quickmoney.co	Quick Money	Quick money without checks and certificates	True
jobs@dream-career.net	Dream Job	Dream job with a salary of $100,000	True
ads@miraclepills.org	Miracle Pills	Lose 20 kg in a week with our pills	True
admin@company.com	Meeting Tomorrow	at 14:00 there is a meeting in the conference room	False
support@company.com	Tech Support	Your request to tech support has been processed	False
sales@onlinestore.com	Order	Your order #12345 is ready for pickup	False
schedule@university.edu	Schedule	New class schedule for next week	False
notices@subscription.com	Subscription	Your subscription expires in 3 days	False
finance@company.com	Budget Review	Please review the quarterly budget proposal	False
it@company.com	System Maintenance	Server maintenance scheduled for this weekend	False
legal@company.com	Contract Update	Updated contract terms for your review	False
training@company.com	Workshop Registration	Register for next month's professional development workshop	False
payroll@company.com	Payslip	Your payslip for this month is available	False
benefits@company.com	Health Insurance	Annual health insurance enrollment period	False
security@company.com	Password Reset	Your password has been successfully reset	False
marketing@company.com	Campaign Results	Q3 marketing campaign performance report	False
operations@company.com	Process Update	New operational procedures effective immediately	False
customer.service@retailstore.com	Order Confirmation	Thank you for your purchase! Order #67890	False
shipping@logistics.com	Delivery Update	Your package will arrive tomorrow between 2-4 PM	False
billing@utilities.com	Monthly Bill	Your electricity bill for March is ready	False
notifications@bank.com	Account Statement	Your monthly account statement is available	False
alerts@creditcard.com	Payment Reminder	Your credit card payment is due in 3 days	False
newsletter@techblog.com	Weekly Tech News	This week's top technology stories	False
updates@software.com	Version Update	New software version 2.1 is now available	False
events@conference.org	Conference Registration	Early bird registration ends next week	False
admissions@university.edu	Application Status	Your application has been received and is under review	False
library@university.edu	Book Due	Books are due back by end of week	False
registrar@university.edu	Grade Report	Your semester grades are now available	False
winner@prize-scam.net	URGENT WINNER!	You are the LUCKY WINNER of $500000! Act NOW!	True
money@get-rich-quick.org	Make Money Fast	Earn $10000 in just one week with our secret method	True
pharmacy@cheap-meds.biz	Cheap Medications	Buy prescription drugs without prescription! 90% off	True
casino@lucky-slots.info	Casino Bonus	$1000 FREE casino bonus! No deposit required!	True
dating@find-love.net	Find Your Match	Hot singles in your area want to meet you tonight	True
crypto@bitcoin-profit.org	Bitcoin Investment	Turn $100 into $10000 with our Bitcoin trading bot	True
weight@lose-fast.com	Lose Weight Now	Lose 30 pounds in 30 days without diet or exercise	True
credit@fix-score.net	Fix Credit Score	Increase your credit score by 200 points instantly	True
inheritance@african-prince.org	Inheritance Money	You have inherited $2000000 from distant relative	True
survey@fake-rewards.com	Complete Survey	$500 gift card for completing 5-minute survey	True
refund@tax-scam.gov	Tax Refund	You are eligible for $5000 tax refund! Click to claim	True
security@phishing-bank.net	Account Suspended	Your account will be closed! Verify immediately	True
support@fake-microsoft.org	Computer Infected	Your computer is infected! Download our antivirus now	True
winner@fake-sweepstakes.com	Sweepstakes Winner	Congratulations! You won our $25000 sweepstakes	True
grants@government-scam.org	Government Grant	You qualify for $50000 government grant! Apply now	True
investment@ponzi-scheme.net	Investment Opportunity	Guaranteed 500% return on investment in 30 days	True
loan@no-credit-check.biz	Instant Loan	Get $50000 loan with no credit check required	True
work@work-from-home.org	Work From Home	Make $8000 per month working from home part-time	True
pills@miracle-cure.net	Miracle Cure	Cure any disease with our revolutionary pills	True
watch@luxury-replica.com	Luxury Watches	Rolex replicas starting at $50! Look authentic	True
admin@company.com	Team Meeting	Weekly team meeting scheduled for Friday at 2 PM	False
